year,season,date,habitat,night,web,trap,recap,spp,sex,age,weight,repro,recond,incomplete,marked,dead,closed,newborn
1995,F,1995-10-26,JC,3,1,132,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,134,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,1,144,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,9,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,20,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,24,N,ONAR,F,A,0,N,NA,Y,M,NA,NA,NA
1995,F,1995-10-26,JC,3,2,30,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,35,N,REME,M,A,10,Y,S,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,36,N,PGFL,M,A,9,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,42,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,45,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,47,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,54,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,55,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,56,Y,PELE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,57,N,DIME,F,A,40,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,58,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,59,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,10,NA
1995,F,1995-10-26,JC,3,2,60,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,70,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,74,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,83,N,NEAL,F,A,182,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,89,Y,PELE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,99,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,100,N,ONAR,F,A,22,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,106,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,120,N,NEAL,M,A,185,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,132,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,139,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,2,141,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,8,N,REME,F,A,15,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,11,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,20,N,DIME,F,A,42,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,22,N,DIME,F,A,38,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,24,N,ONAR,M,A,22,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,27,N,NEAL,M,A,170,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,31,NA,DIME,NA,NA,0,NA,NA,Y,U,NA,NA,NA
1995,F,1995-10-26,JC,3,3,40,N,NEAL,NA,J,125,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,48,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,53,N,ONAR,F,A,19,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,70,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,9,NA
1995,F,1995-10-26,JC,3,3,79,Y,PELE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,89,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,92,N,ONAR,M,A,16,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,126,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,127,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,128,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,139,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,142,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-26,JC,3,3,143,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,5,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,8,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,11,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,12,N,NEAL,F,A,155,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,17,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,24,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,32,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,36,N,NEAL,NA,J,82,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,48,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,53,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,54,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,55,N,DIME,M,A,54,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,58,N,DIME,F,A,44,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,59,N,NEAL,F,A,180,Y,L,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,60,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,61,N,ONAR,NA,J,11,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,64,N,ONAR,F,A,12,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,67,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,69,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,72,N,NEAL,M,A,190,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,82,N,NEAL,NA,J,82,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,83,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,86,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,95,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,96,N,DIME,NA,J,31,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,103,N,PELE,M,A,18,Y,S,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,104,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,106,N,DIME,NA,J,25,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,108,N,DIME,M,A,51,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,114,N,NEAL,NA,J,85,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,118,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,119,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,122,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,135,N,NEAL,M,A,235,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,136,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,141,N,DIME,NA,J,24,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,2,142,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,3,7,N,NEAL,NA,J,110,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,3,11,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,3,12,N,NEAL,NA,J,91,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,3,13,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,3,27,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,3,28,N,NEAL,M,A,190,N,NA,NA,NA,NA,NA,NA
1996,F,1996-10-17,JC,2,3,30,N,DIME,M,A,51,N,NA,NA,NA,NA,NA,NA
