trap_check_date,year,month,day,genus,species,recapture,sex,age,mass_g,reprod_cond,web_trap_number,comments,rhf,body,tail
1993-03-20,1993,3,20,Chaetodipus,baileyi,Y,M,A,33,NA,7,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,Y,M,A,36,ST,9,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,Y,M,A,24,ST,40,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,Y,M,A,34,NA,101,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,Y,M,A,36,ST,102,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,Y,F,A,28,NA,117,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,baileyi,Y,M,A,31,ST,126,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,penicillatus,N,F,A,22,NA,10,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,penicillatus,N,F,A,16,NA,46,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,penicillatus,N,F,A,19,NA,47,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,penicillatus,N,M,A,22,ST,95,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,penicillatus,N,F,A,21,NA,128,NA,NA,NA,NA
1993-03-20,1993,3,20,Chaetodipus,penicillatus,N,F,A,22,NA,131,NA,NA,NA,NA
